,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
78,0.008625023,0.013609509,0.014337341,0.012025272,0.014651182,0.01090877,0.007298691,0.006939324
79,0.013017727,0.014068879,0.012012334,0.017787955,0.025511935,0.01347442,0.007710592,0.010452285
80,0.010652178,0.011415987,0.009351798,0.009372452,0.011315687,0.011922317,0.008657035,0.008238272
81,0.005843184,0.006143273,0.007156684,0.006991264,0.010005187,0.010339204,0.007901179,0.00967306
82,0.008638234,0.005680004,0.005315002,0.006940655,0.008906005,0.01129802,0.007481355,0.008344438
83,0.007608511,0.009055081,0.012276853,0.008662955,0.010362435,0.009080338,0.007828112,0.008211458
84,0.00499022,0.008341369,0.009390825,0.007137164,0.007856705,0.006915069,0.004793574,0.007222891
85,0.009471399,0.009315083,0.009805119,0.007261684,0.009286978,0.007860818,0.006095554,0.006718104
86,0.01271202,0.014319814,0.01236345,0.017517584,0.022796374,0.010389271,0.00646885,0.006313308
87,0.006548678,0.01362339,0.011460582,0.014804878,0.01761819,0.006714844,0.004937611,0.004853365
88,0.005401163,0.007492471,0.008675318,0.008480503,0.008368683,0.010685882,0.006386285,0.010934365
89,0.007370965,0.006374744,0.005362689,0.00897003,0.009845522,0.009282574,0.006594671,0.006320728
90,0.004369628,0.006317485,0.007762001,0.006214325,0.006756016,0.007828592,0.00484416,0.004009766
91,0.004181005,0.013039272,0.007032695,0.014510355,0.015236189,0.006101774,0.005067026,0.007532838
92,0.004663952,0.007400235,0.007490506,0.006481229,0.006206544,0.006511559,0.005014538,0.003863913
93,0.007101078,0.008996151,0.00952288,0.007833097,0.007166235,0.006790281,0.006720497,0.005627106
94,0.006520406,0.008146236,0.006147765,0.009136406,0.008235188,0.007513466,0.007574919,0.004389526
95,0.007866591,0.007278908,0.008364419,0.007439054,0.007733438,0.009672891,0.007982053,0.008341947
96,0.008899994,0.005940042,0.00648833,0.006935579,0.006483607,0.010672474,0.006721762,0.006986793
97,0.006865842,0.006433667,0.007009461,0.005554688,0.005548296,0.007455183,0.004995414,0.005837921
98,0.004710208,0.005268992,0.005991611,0.005614181,0.006708899,0.00909741,0.005897937,0.007375716
99,0.006510974,0.008119047,0.004809404,0.007141285,0.006871437,0.008153031,0.00642061,0.004749355
100,0.003636648,0.00465248,0.005201652,0.004340384,0.006278914,0.005781095,0.004065615,0.004021716
101,0.003163191,0.004807281,0.005504559,0.004273521,0.004856001,0.005967265,0.006784301,0.005422609
102,0.004683617,0.004856613,0.005783855,0.004375432,0.006431265,0.005419563,0.00484426,0.005565266
103,0.00456222,0.006247384,0.006577539,0.00479872,0.007045918,0.006085223,0.007206763,0.006053803
104,0.004337553,0.006339609,0.00583132,0.00506032,0.006628177,0.006679106,0.007864155,0.006532792
